id,date,retweets,source,author,likes,text,twitter_name,location,verified,followers,friends,polarity,subjectivity,1st review,2nd review,3rd review,sympathy?,"Hidden * change to 'hide' to hide verdict, helpful to avoid biases while reviewing"
140538311,12-11-2020 15:44,0,Twitter Web App,mERIChristmas🎄,7,15 is the preferred limit on global warming as per the Paris Agreement five years old this week 15 was chosen as it would significantly reduce risks and the impact of climate change FightFor1Point5 FridaysForFuture DigitalStrike ClimateStrikeOnline klimat climate,ericthelemming,"Ljungsbro, Sweden",FALSE,663,867,0.158333333,0.358333333,news,pro,news,positive,
1.32E+18,12-11-2020 05:12,0,Twitter for Android,Mrityunjay,0,TaariniNB This behavior because of Human nature Global warming Climate change more rain to come by today evening or night till 13th December night Mumbai unseasonal rains,Mrityun73751198,,FALSE,7,443,0.125,0.15,news,pro,pro,positive,
9.27E+17,12-09-2020 19:17,1,Twitter Web App,rituparna bharat sarma,3,Its very alarming for World that Nov montha winter month recorded warming climate month Warm conditions persisted over large swaths of planet climate changeGlobal warming will change our food fm Tea to Ricelife stylebody shapebehaviour in next 20 yrsour next generation,rituparnasarm10,"Assam,born on 25th Dec",FALSE,4048,3876,0.136857143,0.361714286,news,pro,pro,positive,
1290326413,12-09-2020 16:58,0,Twitter for iPhone,The World's Troubles,0,Climate Change If CO2 and other GHG emissions are not rapidly reduced the world will likely exceed global warming of 15C between 2026 and 2042 The ParisAgreement seeks to limit warming to below 2C UN ClimateChange climate Senate UNEP politics,worldcrisis2013,"Ohio, USA",FALSE,35,127,-0.041666667,0.458333333,news,pro,pro,positive,
9.62E+17,12-09-2020 15:55,0,Twitter for iPhone,WPaSportsFan,0,NOAA NWS NOAANCEIclimate Nobody happier than the climate change wackos that lyin jiebiden might be president The hoax of global cooling oops global warming oops climate change will be perpetuated climate,WPaSportsFan,,FALSE,10,41,0,0,neutral,anti,anti,negative,
75042924,12-09-2020 10:07,1,Twitter Web App,Open Book Publishers,0,NewBlog On Global Warming in Local Discourses How Communities around the World Make Sense of Climate Change by Domenic RotundoRead now,OpenBookPublish,"Cambridge and London, England",TRUE,8463,853,0,0,neutral,neutral,neutral,neutral,
75042924,12-08-2020 11:41,0,Twitter Web App,Open Book Publishers,0,Global Warming in Local Discourses constitutes a significant new contribution to understanding the multiperspectivity of our debates on climate change further highlighting the need for interdisciplinary study within this area 56,OpenBookPublish,"Cambridge and London, England",TRUE,8463,853,0.102272727,0.365909091,neutral,neutral,neutral,neutral,
75042924,12-08-2020 11:41,2,Twitter Web App,Open Book Publishers,4,OutNow in OA Global Warming in Local Discourses How Communities around the World Make Sense of Climate Change by Michael Brggemann and Simone Rdder edsRead and download this title for free andor get your own hard copy at 16,OpenBookPublish,"Cambridge and London, England",TRUE,8463,853,0.141666667,0.468333333,neutral,neutral,neutral,neutral,
1.25E+18,12-07-2020 09:42,5,Twitter Web App,Your Planet Earth,9,To limit global warming to 15 degrees Celsius 27 degrees Fahrenheit which scientists say would avoid the most catastrophic impacts of climate change countries need to wind down their fossil fuel production by 6 every year between now and 2030GlobalWarming Climate,YourPlanetEart1,Australia,FALSE,2472,3984,0.114814815,0.262962963,news,news,news,positive,
1.12E+18,12-07-2020 05:58,1,Twitter Web App,Anna - we need a renewable energy recovery 🌏🌞🐨,1,deniseshrivell How many Australians actually get the urgent overarching threat is climate changeAt 2degeesC global warming 99 of corals wont surviveGreatBarrierReef is in a critical condition due to 3 mass bleaching from marine heat wavesWe r fast running out of timeclimate,Anna98831,,FALSE,485,788,0.095833333,0.395833333,news,pro,pro,positive,
1.33E+18,12-04-2020 17:27,0,Twitter for iPhone,Hobo Crackerbags,1,I worried about global warming amp climate change until I realized earth will live It may shed us like a virus burning us off with a climate induced fever until none of us exist but the planet will still be existI for one welcome the sweet silence of eradicated humanity,HoboCrackerbags,,FALSE,1,50,0.321590909,0.5125,pro,pro,pro,positive,
95418595,12-04-2020 10:00,0,Hootsuite Inc.,Daily Climate,0,NewZealand has joined 30 states in declaring an emergency in the country due to the threat of climate change According to research this island nation will be particularly affected by global warming,TheDailyClimate,"Bozeman, Mont.",FALSE,17704,1370,0.013888889,0.236111111,news,news,news,positive,
3143141461,12-02-2020 16:09,0,Twitter for Android,Centre for Cultural Resources and Training,1,and Rtd Associate Professor of Cotton University Assam He discussed about the types of environment and its components and major environmental issues which have led to climate change He also highlighted issues like Global Warming and Green House Effect,CCRTNewDelhi,"Dwarka, New Delhi",TRUE,2333,168,-0.045833333,0.266666667,neutral,neutral,neutral,neutral,
89711639,12-02-2020 15:20,2,TweetDeck,TRF Climate,2,The worlds governments plan to produce more than double the amount of coal oil and gas in 2030 than would be consistent with curbing global warming says new report in latest warning over climate change fossilfuels ProductionGap UNEP,TRF_Climate,London,TRUE,14226,1694,0.231060606,0.350757576,news,news,news,positive,
52078108,12-01-2020 15:19,0,Twitter for Android,Andreas Geiges,0,Optimistic analysis of netzero target This only indicates that we still can fight global warmingA 5050 change for 21C is still a warming level that threatens our planetWe need real climate action and accountable reductions in 2030 targets ParisAgreement,AGeiges,Berlin,FALSE,82,171,0.075,0.35,news,news,news,positive,
19609660,11-27-2020 20:01,1,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0,climate The 11TH HOUR FOR THE EARTH change climatechange global warming,EDITORatWORK,"Rural Hall, North Carolina, USA",FALSE,4191,3708,0,0,neutral,pro,pro,positive,
1.16E+18,11-26-2020 20:01,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0,ShadyCrossing YouTube Probably because you dont know what he wss referring toNazarene meant truth tellerLike Milankovitch cycles cause climate change Global Warming Global Tsunamis at the vernal equinoxes every 130 lifetimes,ExpatriateNl,Earth,FALSE,1331,3829,0,0,anti,anti,anti,negative,
1.16E+18,11-26-2020 19:56,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0,tmischuk CanadaInPeril Lumberist No they are like rats fleeing a sinking ship on their VTVL rockets and space arcsMilankovitch cycles cause climate change Global Warming Global Tsunamis at the vernal equinoxesEarth is a closed loop that self regulates co2 with life,ExpatriateNl,Earth,FALSE,1331,3829,-0.033333333,0.033333333,anti,anti,anti,negative,
1.16E+18,11-26-2020 19:49,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0,maparker21 Lumberist burnThe Milankovitch cycles cause Climate Change Global Warming Global Tsunamis at the vernal equinoxesCovid1984 is baby Boomer Bust from Seasonal FLU and old age,ExpatriateNl,Earth,FALSE,1331,3829,0.033333333,0.066666667,anti,anti,anti,negative,
83805400,11-26-2020 15:07,0,Twitter Web App,Edaqa 😊 Mortoray,1,I sure wish global warming would get the level of concern that coronavirus has In the next decades changes in climate are still going to kill displace and harm more people than the virus ever willpriorities politics coronavirus climate,edaqa,"Munich, Bavaria",FALSE,7058,183,0.25,0.347222222,pro,pro,pro,positive,
549848503,11-26-2020 12:28,0,Twitter for iPhone,Lostoutwest🇨🇦,1,lamphieryeg Thats why they stopped calling it global warming and changed it to climate change Hard to argue that the climate changes And wtf is a climate denier Are leaders really that stupid or just fucking sinister with their own agenda JustinTrudeau stupid or sinister climate,lostoutwest01,,FALSE,115,210,-0.287962963,0.749074074,neutral,neutral,neutral,neutral,
2184934963,11-24-2020 18:22,3,Twitter Web App,GO GREEN,7,If BidenHarris JohnKerry JoeBiden really mean they will fight climate change will they stop EU logging millions acres US forest for bio wood that is increasing emissionsfueling global warming and calling it green keepitintheground climatechange,ECOWARRIORSS,,FALSE,23415,20439,-0.170833333,0.329166667,news,news,news,positive,
1.22E+18,11-24-2020 01:37,0,Twitter for iPhone,N͜͡a͜͡n͜͡a͜͡,0,JohnKerry who ran in The presidential primary will be named Special Presidential Envoy for Climate Congratulations Mr Kerry has been actively advocating on climate change amp global warming Climate ClimateAction DemVoice1,NanaWearsAMask,"Puerto Rico, USA",FALSE,2620,2656,0.155952381,0.417857143,neutral,news,news,positive,
154266844,11-21-2020 17:41,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0,climate change Links to FIXING CLIMATE CHANGE climatechange CO2 global warming environment,SptsGuy1,"Rural Hall, NC",FALSE,2281,2155,0,0,news,news,news,positive,
54237170,11-21-2020 15:00,0,Twitter Web App,Moo Dog Press,0,Some years ago she also began seeing something else the impact global warming and climate change were having on the desert surrounding her homeSo Millet did what authors do She wrote about it climate,MooDogPress,"East Coast, USA",FALSE,2329,2203,0,0,neutral,neutral,neutral,neutral,
3825593307,11-20-2020 18:12,0,Twitter Web App,C Brunel-Ligneau,0,Global warming and climate change are often used interchangeably but the two terms have distinct meanings check out this interesting resource for NASA definition climate,ChristineLigne3,"Monheim am Rhein, Deutschland",FALSE,1264,803,0.266666667,0.266666667,neutral,neutral,neutral,neutral,
1613661446,11-18-2020 13:04,2,Twitter Web App,KY Green Party🌻,2,GreenParty climatePart IIPLASTICSImpacts on climate changePlastic which is a petroleum product also contributes to global warming If plastic waste is incinerated it releases carbon dioxide into the atmosphere thereby increasing carbon emissions,KYGreenParty,Kentucky,TRUE,1608,1231,-0.1,0,news,neutral,neutral,neutral,
1.26E+18,11-18-2020 11:10,0,Twitter for Android,DICERE,2,The world should react with the same urgency to climate change as is to the coronavirus crisis the Red Cross says warning that global warming poses a greater threat than COVID19Read more GlobalWarming ClimateCrisis climate ClimateAction,WSecondSource,,FALSE,215,261,0.166666667,0.1875,pro,pro,pro,positive,
1.16E+18,11-18-2020 05:58,1,Twitter Web App,naagriknews,0,Climate Change poses a much larger threat than coronavirus warned Red Cross recently calling out nations to act with urgency on the issue of global warmingclimate ClimateEmergency WHO GlobalWarming UNFCCC Covid19 coronavirus Japan JoeBiden,naagriknews,Delhi,FALSE,40,33,0,0.15,news,news,news,positive,
1.21E+18,11-17-2020 10:06,0,Twitter for Android,Studio 63,1,On Tuesday Red Cross said that the world should react with the same urgency to climate change as to the coronavirus crisis warning that global warming poses a greater threat than Covid19s63 climate ClimateJusticeNow ClimateAction climatechange ClimateJustice,Studio63_ke,,FALSE,394,2,0.1,0.125,pro,pro,pro,positive,
1126003543,11-17-2020 07:39,0,Hootsuite Inc.,Howell W. Woltz,0,Climate change global warming global cooling,WoltzHowell,"Warsaw, Poland",FALSE,1456,420,0,0,neutral,neutral,neutral,neutral,
1.29E+18,11-16-2020 21:48,0,Twitter for Android,🇯🇵 九龍_🔰株式投資/⛩️神社参拝/空手/中国語/英語,6,Saving energies are very important for global warmingglobal warmingclimate change,9ron358,,FALSE,4387,4642,0.26,0.5,pro,pro,pro,positive,
1.16E+18,11-15-2020 06:40,0,Twitter for Android,"Greg Byrne, NL_Expatriate",0,MrBeastYT Milankovitch cycles cause climate changeObliquity causes global warmingPrecession causes Global tsunamisEccentricity is the triggerCovid is a lie built on the Baby BOOMER Bust due to Seasonal FLU amp old ageThese are inconvenient truthsWwG1WgA Humanity,ExpatriateNl,Earth,FALSE,1331,3829,-0.125,0.315,anti,anti,anti,negative,
1.16E+18,11-15-2020 06:27,0,Twitter for Android,"Greg Byrne, NL_Expatriate",0,Covid amp co2 are LIES built on inconvenient truthsMilankovitch cycles cause climate changeObliquity causes global warmingPrecession causes global tsunamis at the equinoxsEccentricity is the triggerCovid is the Baby BOOMER Bust due to Seasonal FLU amp old age,ExpatriateNl,Earth,FALSE,1331,3829,-0.125,0.315,anti,anti,anti,negative,
1.16E+18,11-14-2020 02:19,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0,Milankovitch Cycles cause climate change Obliquity causes Global WarmingPrecession causes Global Tsunamis equinoxes Eccentricity is the triggerBuildThatWall BuildThatRRCovid is Seasonal FLU Baby Boomer Bust,ExpatriateNl,Earth,FALSE,1331,3829,0,0,anti,anti,anti,negative,
1.16E+18,11-14-2020 02:17,1,Twitter Web App,"Greg Byrne, NL_Expatriate",1,realDonaldTrump BrianKempGA Milankovitch Cycles cause climate change Obliquity causes Global WarmingPrecession causes Global Tsunamis equinoxes Eccentricity is the triggerCovid is Seasonal FLU Baby Boomer Bust,ExpatriateNl,Earth,FALSE,1331,3829,0,0,anti,anti,anti,negative,
213278292,11-13-2020 03:53,0,Prothom Alo English,Prothom Alo,24,Reactions from halfadozen leading climate scientists to the study which the authors acknowledge is schematic varied sharply ClimateChange GlobalWarming CO2 CarbonEmission ClimateEmergency,ProthomAlo,"Dhaka, Bangladesh",TRUE,1720089,358,-0.125,0.75,neutral,news,neutral,neutral,
2184934963,11-13-2020 00:24,37,Twitter Web App,GO GREEN,53,This will fuel global warming and climate changeMay 2017 to Sept 2020 just look at how much of Amazon has been destroyed millions of acres and Brazils carbon emissions increased by 96 in 2019 aloneBidenHarris2020 impose sanctions for sake of all humanity life on Earth,ECOWARRIORSS,,FALSE,23415,20439,0.1,0.1,news,news,news,positive,
2401117104,11-12-2020 19:37,2,Twitter for iPad,💧🏸 BettyG,5,Climate change is already here reportno longer possible to limit global warming to 15 degrees but it may be possible to contain it to two degreesTime for climate wars to stop auspol,greensinspa,Sydney Australia,FALSE,4576,3033,0,0.666666667,pro,neutral,pro,positive,
858653156,11-12-2020 09:55,0,Twitter for iPhone,Nature’s Essence of Life,1,Glaciers in Chinas bleak Qilian mountains are disappearing at a shocking rate as global warming brings unpredictable change amp raises the prospect of cripplinglongterm water shortages scientists sayGlobalWarming climate green planet climatechange,nmanroe,UK,FALSE,114,628,-0.473333333,0.66,news,news,news,positive,
610076827,11-12-2020 01:07,0,Twitter for iPhone,Chris Fox,6,Presidentelect Joe Biden is poised to embed action on climate change across the breadth of the federal government from the departments of Agriculture to Treasury to State expanding it beyond environmental agencies to speed US efforts to mitigate global warming,ChristopherNFox,"Boston, MA",FALSE,18451,15267,0.05,0.05,news,news,news,positive,
224706635,11-11-2020 15:48,0,Twitter Web App,AccountAbility,2,Presidentelect Joe Biden is poised to embed action on climate change across the breadth of the federal government expanding it beyond environmental agencies to speed US efforts to mitigate global warming via washingtonpost,AAInsights,New York/London/Riyadh/Dubai,FALSE,3988,2352,0.05,0.05,news,news,news,positive,
171070404,11-10-2020 12:05,2,Twitter Web App,Norwich Research Park,0,Interested in Global Warming Check out this new app from our partners at UEA to get more info about the affect climate change might have where you live climatechange climate app,NorwichResearch,Norwich UK,FALSE,4684,1432,0.204545455,0.390909091,neutral,neutral,neutral,neutral,
1.16E+18,11-10-2020 04:41,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0,Covid amp CO2 are LIES built on inconvenient truthsCovid Baby Boomer Bust due to seasonal FLU amp old ageClimate Change is built on the Milankovitch cyclesObliquity is causing global warmingPrecession will cause Global Tsunamis at the Vernal Equinox,ExpatriateNl,Earth,FALSE,1331,3829,-0.125,0.315,anti,anti,anti,negative,
2184934963,11-09-2020 22:28,4,Twitter Web App,GO GREEN,4,What Brazil is doing will impact every life form on the planet burning down the Amazon fueling global warming and climate changeAmazon fires cause Brazils CO2 emissions to jump Emissions jumped 10 in 2019 accelerating as much as 20 in 2020,ECOWARRIORSS,,FALSE,23415,20439,0.014814815,0.162962963,pro,news,news,positive,
9.21E+17,11-09-2020 07:58,2,Twitter Web App,Just Share,4,There is a disconnect between what investors are asking for and what companies are doing Its time investors reassess their approach to climate engagement push hard for businesswide changes needed to see global warming limited to 15C not 354C ESG,JustShareSA,"Cape Town, South Africa",FALSE,1071,1367,-0.121031746,0.228174603,news,neutral,neutral,neutral,
1.16E+18,11-01-2020 15:56,0,Twitter for Android,"Greg Byrne, NL_Expatriate",0,TYInconvenient truths amp Perennial prophets of DOOMClimate Change is caused by the Milankovitch cyclesObliquity is causing global warmingPrecession will cause Global tsunamisEccentricity is speeding it upCovid19 is the Baby BOOMER Bust amp Seasonal FLU,ExpatriateNl,Earth,FALSE,1331,3829,0,0,anti,anti,anti,negative,fake news
1.16E+18,11-01-2020 15:55,0,Twitter for Android,"Greg Byrne, NL_Expatriate",0,TrudeauWorstPMEver Inconvenient truths amp Perennial prophets of DOOMClimate Change is caused by the Milankovitch cyclesObliquity is causing global warmingPrecession will cause Global tsunamisEccentricity is speeding it upCovid19 is the Baby BOOMER Bust amp Seasonal FLU,ExpatriateNl,Earth,FALSE,1331,3829,-0.2,0.333333333,anti,anti,anti,negative,fake news
1.16E+18,11-01-2020 15:52,0,Twitter for Android,"Greg Byrne, NL_Expatriate",1,cathmckenna We never murder the truth No matter how inconvenientClimate Change is caused by the Milankovitch cyclesObliquity is causing global warmingPrecession will cause Global tsunamisEccentricity is speeding it upCovid19 is the Baby BOOMER Bust amp Seasonal FLU,ExpatriateNl,Earth,FALSE,1331,3829,0,0,anti,anti,anti,negative,fake news
1.29E+18,11-01-2020 01:37,0,Twitter for Android,🇯🇵 九龍_🔰株式投資/⛩️神社参拝/空手/中国語/英語,2,curving CO2climate changecoping with global warmingSmart phone charger with solar panel is setting on the ground I wanna curving CO2 as possible,9ron358,,FALSE,4387,4642,0,0.5,pro,pro,pro,positive,
154266844,10-27-2020 19:47,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0,climate change NEW Links to FIXING CLIMATE CHANGE climatechange CO2 global warming lawsuits,SptsGuy1,"Rural Hall, NC",FALSE,2281,2155,0.068181818,0.227272727,news,pro,pro,positive,
1.30E+18,10-26-2020 19:48,0,Twitter for Android,United World,7,Global Warming and Climate ChangeCauses and Effectsclimatechange environment nature sustainability globalwarming savetheplanet climate climatecrisis climateaction earth climatechangeisreal green fridaysforfuture climatestrike climateemergency earthday,UWfound,Planet Earth,FALSE,26,67,-0.1,0.15,news,news,news,positive,
1697923279,10-25-2020 12:28,0,Twitter for iPad,ken cha_OzVeteransVote,0,2020 SkS Weekly Climate Change amp Global Warming News Roundup 43Skeptical Science posts 24 October 2020A 2nd realDonaldTrump term would mean severe amp irreversible changes in climateNo joke It would be disastrous on scale of millennia,coolrunning2009,Australia,FALSE,1671,1725,-0.253125,0.371875,news,news,news,positive,
19609660,10-25-2020 02:34,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0,environment Links to CLIMATE CHANGE climatechange climate change global warming,EDITORatWORK,"Rural Hall, North Carolina, USA",FALSE,4191,3708,0,0,news,neutral,neutral,neutral,
1.21E+18,10-24-2020 16:02,0,Twitter for iPhone,APUS,0,What Trumps Environmental Rollbacks Mean for Global Warming This is the disaster Trump has Done and is going worse if you vote for him He cares nothing about enviroment and climate change He must be stoppt Vote for BidentrumpbidenClimate,APUS89370183,,FALSE,24,24,-0.2375,0.429166667,neutral,neutral,neutral,neutral,
125896734,10-23-2020 22:49,0,Twitter Web App,Proud Vietnam Vet🌟🌟🌟,0,Global Warming Climate Change was DEBUNKED many years agoDemocratsAreCorrupt climate GlobalWarming TCOT,HiDesertPatriot,#MAGA #TCOT #NRA SoCalHD,FALSE,17252,17758,0.25,0.25,neutral,anti,anti,negative,"""debunked"" so anti"
559179760,10-22-2020 20:34,0,Twitter Web App,ROBERT MARGOLIN,3,This is Weehawk And he is way smarter then Trump and I can prove it He was a fire rescue so he knows climate change and global warming are real and that Trump telling people to rake the forest is just dumb ass Trump bullsht cats climate TrumpMeltdown,ROBERTMARGOLIN,,FALSE,872,2566,-0.058333333,0.266666667,neutral,neutral,neutral,neutral,
1.27E+18,10-22-2020 02:46,0,Twitter for iPhone,Eagle,0,To the idiot that is PeteButtigieg you can not claim that global warmingclimate change whatever you call it now is this generations WWII If I had to pick between driving a Prius and the beaches of Normandy I would pick the fukng Prius GreenNewDeal climate Trump2020,TheEagleSocial,United States,FALSE,20,95,-0.4,0.4,neutral,neutral,neutral,neutral,
1.29E+18,10-21-2020 07:08,3,Twitter for Android,Team Kosmos,3,Theres still time if we act now we CAN take over Climate Change and Global WarmingNAISHATEAM KOSMOSenvironment climate ClimateAction LGBTQ LGBT GreenNewDeal teamkosmos,teamkosmoss,,FALSE,11,23,0,0,pro,pro,pro,positive,
1.17E+18,10-19-2020 20:36,0,Twitter for iPhone,Brad Victor,0,Climate Change PARODYGlobal Warming didnt stick so heres some 16 year old with braids HT gddub climate ClimateAction ClimateCrisis ClimateChange,BradVictor6,Canada,FALSE,212,585,0.1,0.2,anti,anti,anti,negative,
18210270,10-19-2020 11:06,0,Twitter Web App,MapsofWorld,0,For years now scientists and governments have discussed and debated the effects of climate change and global warming Very little has been doneHave a look at Climate Change over the Centuryclimate Change Century environment,mapsofworld,"San Jose, US",FALSE,5292,130,-0.121875,0.325,news,neutral,news,positive,
1.29E+18,10-18-2020 00:34,0,Twitter for Android,🇯🇵 九龍_🔰株式投資/⛩️神社参拝/空手/中国語/英語,3,curving CO2climate changecoping with global warmingSmart phone charger with solar panel is setting on the ground I wanna curving CO2 as possibleASALW,9ron358,,FALSE,4387,4642,0,0,pro,pro,pro,positive,
123231225,10-17-2020 18:45,31,Twitter Web App,Citizens' Climate Lobby,44,More than 45 of the US is experiencing drought conditions right nowFrom the nytimes Global warming has made drought worse scientists say exemplifying a trend toward more extreme weather as the climate changes,citizensclimate,Nationwide,TRUE,37837,15492,0.126785714,0.522619048,news,news,news,positive,
1.30E+18,10-16-2020 18:24,0,Twitter Web App,Unnati Gupta,0,Three MustRead Books to Understand Climate ChangeWhat you can do instead is pick a book at your local bookstore or library about climate change global warming and everything related to our planet Read more climate climatechange globalwarming,unnatiguptaedu,Ghaziabad,FALSE,5,211,0.125,0.225,neutral,neutral,neutral,neutral,
